contig_ID,Methylation_MAG
s10.ctg018332l,NA
s33586.ctg036943l,NA
s18620.ctg020571l,NA
s34391.ctg037816l,NA
s31457.ctg034628l,NA
s14852.ctg016437l,NA
s12656.ctg014032l,NA
s15658.ctg017316l,NA
s49837.ctg055328l,NA
s7980.ctg008906l,NA
s68.ctg000082l,NA
s10.ctg002552l,NA
s423.ctg000472l,NA
s15613.ctg017268l,NA
s27030.ctg029759l,NA
s33097.ctg036406l,NA
s821.ctg000921l,NA
s835.ctg000937l,NA
s7172.ctg007999l,NA
s14513.ctg016068l,NA
s10.ctg013570l,NA
s32564.ctg035836l,NA
s18110.ctg020020l,NA
s10.ctg062046l,NA
s9971.ctg011084l,NA
s49745.ctg055217l,NA
s21090.ctg023247l,NA
s44438.ctg049079l,NA
s14110.ctg015624l,NA
s3350.ctg003774l,NA
s10.ctg009137l,NA
s22117.ctg024359l,NA
s27067.ctg029797l,NA
s25931.ctg028538l,NA
s11294.ctg012527l,NA
s25744.ctg028337l,NA
s12444.ctg013795l,NA
s21707.ctg023923l,NA
s32653.ctg035932l,NA
s45456.ctg050253l,NA
s7100.ctg007920l,NA
s4284.ctg004826l,NA
s848.ctg061565l,NA
s20977.ctg023123l,NA
s14302.ctg015838l,NA
s50757.ctg056462l,NA
s34032.ctg037430l,NA
s22870.ctg025182l,NA
s10.ctg007723l,NA
s10.ctg001200l,NA
s11313.ctg012548l,NA
s7776.ctg008680l,NA
s230.ctg000262l,NA
s11590.ctg012855l,NA
s2758.ctg003108l,NA
s13356.ctg014805l,NA
s9643.ctg010731l,NA
s52453.ctg058620l,NA
s1373.ctg001541l,NA
s39267.ctg043247l,NA
s50503.ctg056145l,NA
s42804.ctg047218l,NA
s12287.ctg013623l,NA
s870.ctg000975l,NA
s10.ctg004380l,NA
s10.ctg017003l,NA
s36603.ctg040266l,NA
s18328.ctg020254l,NA
s3124.ctg003522l,NA
s3900.ctg004399l,NA
s51414.ctg057253l,NA
s6998.ctg007811l,NA
s1647.ctg001854l,NA
s10.ctg025267l,NA
s27649.ctg030441l,NA
s12136.ctg013452l,NA
s23724.ctg026129l,NA
s12734.ctg014120l,NA
s10.ctg017879l,NA
s40048.ctg044141l,NA
s953.ctg001073l,NA
s29326.ctg032287l,NA
s650.ctg000734l,NA
s34607.ctg038062l,NA
s50490.ctg056129l,NA
s19629.ctg021659l,NA
s1923.ctg002169l,NA
s10.ctg004873l,NA
s52923.ctg059242l,NA
s14917.ctg016504l,NA
s33366.ctg036701l,NA
s6603.ctg007368l,NA
s6955.ctg007766l,NA
