contig_ID,Methylation_MAG
s4.ctg043880l,NA
s4.ctg033609l,NA
s4.ctg019281l,NA
s28848.ctg042622l,NA
s33485.ctg050250l,NA
s4251.ctg040674l,NA
s4.ctg001266l,NA
s4.ctg053002l,NA
s12887.ctg018567c,NA
s43205.ctg070705l,NA
s4.ctg020786l,NA
s4.ctg058873l,NA
s4.ctg002935l,NA
s43325.ctg071052l,NA
s322.ctg071190l,NA
s21.ctg003645l,NA
s4.ctg054749l,NA
s24104.ctg035267l,NA
s4.ctg011898l,NA
s2688.ctg003903l,NA
s4.ctg016835l,NA
s4.ctg001605l,NA
s4.ctg050107l,NA
s16268.ctg023544l,NA
s4.ctg053215l,NA
s21.ctg030656l,NA
s4.ctg022697l,NA
s20784.ctg030294l,NA
s4.ctg027349l,NA
s27749.ctg040902l,NA
s4.ctg045478l,NA
s40376.ctg063663l,NA
s4.ctg069773l,NA
s4.ctg064860l,NA
s4.ctg044985l,NA
s4.ctg064078l,NA
s149.ctg033810l,NA
s4.ctg014602l,NA
s4.ctg003411l,NA
s40869.ctg064748l,NA
s5214.ctg007545l,NA
s4.ctg056183l,NA
s38190.ctg059108l,NA
s4.ctg063779l,NA
s4.ctg016421l,NA
s4.ctg022058l,NA
s4.ctg040292l,NA
s4.ctg026130l,NA
s11742.ctg016910l,NA
s4.ctg024514l,NA
s4.ctg048841l,NA
s8618.ctg012465l,NA
s33903.ctg050940l,NA
s23510.ctg034343l,NA
s4.ctg000177l,NA
s41812.ctg066971l,NA
s4.ctg069898l,NA
s2062.ctg003002l,NA
s7465.ctg010844l,NA
s4.ctg024590l,NA
s24597.ctg036054l,NA
s322.ctg068416l,NA
s19959.ctg029006l,NA
s322.ctg059667l,NA
s4.ctg039617l,NA
s322.ctg055378l,NA
s322.ctg064148l,NA
s43008.ctg070133l,NA
s4.ctg065482l,NA
s4.ctg003492l,NA
s4.ctg061578l,NA
s16106.ctg023303l,NA
s37401.ctg057563l,NA
s4.ctg012879l,NA
s10741.ctg015459l,NA
s4.ctg021159l,NA
s21.ctg044686l,NA
s4.ctg009302l,NA
s18211.ctg026442l,NA
s4.ctg031522l,NA
s27881.ctg041103l,NA
s4.ctg046923l,NA
s17256.ctg025029l,NA
s10529.ctg015160l,NA
s4.ctg067603l,NA
s36540.ctg055920l,NA
s4.ctg046415l,NA
s19360.ctg028139l,NA
s30191.ctg044830l,NA
s38769.ctg060316l,NA
s4.ctg072711l,NA
s4.ctg019136l,NA
s4.ctg041299l,NA
s10001.ctg014449l,NA
s4.ctg055447l,NA
s4.ctg011024l,NA
s41708.ctg066743l,NA
s4.ctg000462l,NA
s3031.ctg004415l,NA
s3120.ctg004548l,NA
s4.ctg057374l,NA
s27169.ctg039991l,NA
s2008.ctg002922l,NA
s322.ctg060376l,NA
s10067.ctg014540l,NA
s24481.ctg035868l,NA
s30196.ctg044836l,NA
s3045.ctg004436l,NA
