Contig_Names,Name
s2251.ctg003227l,semibin2_55
s2862.ctg004121l,semibin2_55
s3779.ctg005465l,semibin2_55
s4600.ctg006668l,semibin2_55
s6122.ctg008860l,semibin2_55
s6793.ctg009834l,semibin2_55
s7098.ctg010259l,semibin2_55
s8629.ctg012521l,semibin2_55
s9682.ctg014010l,semibin2_55
s11659.ctg016867l,semibin2_55
s12080.ctg017439l,semibin2_55
s13387.ctg019315l,semibin2_55
s16560.ctg023905l,semibin2_55
s36478.ctg054399l,semibin2_55
s192.ctg000255l,metabat2.744
s51.ctg000649l,metabat2.744
s1035.ctg001461l,metabat2.744
s51.ctg002085l,metabat2.744
s2086.ctg002977l,metabat2.744
s51.ctg004415l,metabat2.744
s51.ctg006152l,metabat2.744
s51.ctg007518l,metabat2.744
s51.ctg007870l,metabat2.744
s7064.ctg010212l,metabat2.744
s51.ctg011063l,metabat2.744
s8052.ctg011673l,metabat2.744
s8115.ctg011764l,metabat2.744
s51.ctg012010l,metabat2.744
s8606.ctg012480l,metabat2.744
s51.ctg012684l,metabat2.744
s10992.ctg015906l,metabat2.744
s12835.ctg018518l,metabat2.744
s13817.ctg019947l,metabat2.744
s12926.ctg018648l,NA
s1.ctg055995l,NA
s1.ctg022046l,NA
s45445.ctg074563l,NA
s1.ctg009723l,NA
s1.ctg065234l,NA
s15496.ctg022343l,NA
s1.ctg052351l,NA
s7822.ctg011335l,NA
s1.ctg062199l,NA
s34435.ctg051056l,NA
s36005.ctg053579l,NA
s23822.ctg034613l,NA
s1.ctg020284l,NA
s1.ctg020582l,NA
s35196.ctg052268l,NA
s1.ctg061707l,NA
s41418.ctg064152l,NA
s5846.ctg008475l,NA
s23734.ctg034476l,NA
s40289.ctg061596l,NA
s25700.ctg037527l,NA
s14945.ctg021552l,NA
s334.ctg000467l,NA
s24400.ctg035496l,NA
s18795.ctg027134l,NA
s1.ctg019401l,NA
s1.ctg025319l,NA
s42609.ctg066881l,NA
s1.ctg018154l,NA
s1.ctg067220l,NA
s1.ctg006728l,NA
s1.ctg029706l,NA
s23871.ctg034685l,NA
s52.ctg045741l,NA
