clade_name	EFF1	EFF2	EFF3	INF1	INF2	INF3	SLU1	SLU2	SLU3
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__S36-B12|f__S36-B12|g__UBA11398	0.0	0.0128	0.0125	0.0	0.0	0.0	0.0038	0.0025	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__S36-B12|f__UBA10799|g__JADKAV01	0.0	0.0	0.0	0.0027	0.0	0.0028	0.0	0.0	0.0027
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__S36-B12|f__UBA10799|g__UBA10799	1.7922	1.8744	2.7771	0.0	0.0	0.0748	0.0605	0.0752	0.0803
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces	0.0	0.0085	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Anaerosomatales|f__Anaerosomataceae|g__Anaerosoma	0.0	0.0	0.0	0.0	0.0	0.0	0.0259	0.0218	0.0227
d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella_D	0.0084	0.0108	0.0	0.0059	0.0097	0.0084	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Paratractidigestivibacter	0.0	0.0	0.0	0.0086	0.0053	0.0052	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Parolsenella	0.0	0.0	0.0	0.0085	0.0045	0.0007	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Tractidigestivibacter	0.0	0.0	0.0	0.0083	0.0118	0.0044	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__UBA7748	0.026	0.0345	0.0	0.0137	0.019	0.014	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	0.5869	0.497	0.0654	0.5173	0.508	0.3334	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma	0.0	0.0	0.0	0.0024	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Adlercreutzia	0.0266	0.0388	0.0082	0.0368	0.039	0.035	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Anaerotardibacter	0.0304	0.0143	0.0	0.0617	0.0418	0.0483	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__CAJFUR01	0.0	0.0	0.0	0.0043	0.0018	0.0005	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Eggerthella	0.0281	0.0164	0.0083	0.0182	0.0228	0.0141	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Ellagibacter	0.0	0.0	0.0	0.0123	0.0092	0.0141	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Enteroscipio	0.0	0.0	0.0	0.0	0.0	0.0008	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Gordonibacter	0.0	0.0102	0.0	0.0155	0.0113	0.0113	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Senegalimassilia	0.0	0.0	0.0	0.0217	0.0257	0.0238	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Slackia	0.0	0.0	0.0	0.0092	0.0109	0.0097	0.0	0.0	0.0
