Contig_Names,HiFi_MAG_Pipeline
s36.ctg044727l,NA
s1898.ctg058483l,NA
s5889.ctg036957l,NA
s9857.ctg011280l,NA
s36.ctg034644l,NA
s22927.ctg026871l,NA
s4717.ctg029424l,NA
s35546.ctg042713l,NA
s10126.ctg014624l,NA
s36.ctg059472l,NA
s3590.ctg027353l,NA
s13945.ctg016103c,NA
s14625.ctg016907l,NA
s21085.ctg024622l,NA
s36.ctg025358l,NA
s17620.ctg020473l,NA
s28711.ctg033994l,NA
s39484.ctg048374l,NA
s1588.ctg050836l,NA
s848.ctg046837l,NA
s22561.ctg026431l,NA
s36.ctg041749l,NA
s34273.ctg041061l,NA
s9419.ctg010772c,NA
s36.ctg053439l,NA
s2495.ctg002768l,NA
s17462.ctg020283l,NA
s27165.ctg032093l,NA
s3110.ctg003462l,NA
s26312.ctg031031c,NA
s45420.ctg060341l,NA
s36.ctg058460l,NA
s7415.ctg052790l,NA
s155.ctg004464l,NA
s453.ctg045456l,NA
s41060.ctg050901l,NA
s41322.ctg051353l,NA
s40958.ctg050733l,NA
s42441.ctg053457l,NA
s21746.ctg025445l,NA
s40418.ctg049850l,NA
s36.ctg060350l,NA
s36.ctg050826l,NA
s20301.ctg023716c,NA
s2306.ctg049325l,NA
s15578.ctg018060c,NA
s37842.ctg045864l,NA
s4593.ctg005147l,NA
s29524.ctg035001c,NA
s30.ctg000351l,NA
s41626.ctg051913l,NA
s7.ctg024161l,NA
s24632.ctg028964l,NA
s15365.ctg017812l,NA
s41535.ctg051743l,NA
s14895.ctg017231l,NA
s8680.ctg009908l,NA
s43125.ctg054819l,NA
s21815.ctg025528l,NA
s21840.ctg025560l,NA
s38338.ctg046595l,NA
s27880.ctg032952l,NA
s9639.ctg011025l,NA
s30.ctg004851l,NA
s14159.ctg016357l,NA
s36.ctg010073l,NA
s36.ctg021769l,NA
s848.ctg017931l,NA
s738.ctg041944l,NA
s118.ctg010156l,NA
s7.ctg002742l,NA
s22026.ctg025780l,NA
s22749.ctg026653l,NA
s182.ctg006373l,NA
s36.ctg048635l,NA
s14820.ctg017144l,NA
s11033.ctg012675l,NA
s16945.ctg019676c,NA
s236.ctg000262l,NA
s6006.ctg006786l,NA
s37586.ctg045506l,NA
s36.ctg052883l,NA
s1398.ctg001543l,NA
s22188.ctg025980c,NA
s5387.ctg006077l,NA
s18519.ctg021556l,NA
s547.ctg000604l,NA
s674.ctg006520l,NA
s20049.ctg023417l,NA
s17083.ctg060530l,NA
s2553.ctg022338l,NA
s21315.ctg024902l,NA
s6096.ctg006900l,NA
s30.ctg058380l,NA
s36.ctg003751l,NA
s9376.ctg035379l,NA
s20574.ctg024030l,NA
s30.ctg038328l,NA
s2324.ctg056810l,NA
s7453.ctg008462l,NA
s36.ctg053561l,NA
s3491.ctg021097l,NA
s6149.ctg052279l,NA
s5889.ctg053415l,NA
s7411.ctg036954l,NA
s4778.ctg005362l,NA
s2200.ctg002441l,NA
s8806.ctg010052l,NA
s8212.ctg009364l,NA
s30.ctg033772l,NA
s36.ctg001979l,NA
s848.ctg002279l,NA
s40772.ctg050419l,NA
s30.ctg007416l,NA
s19554.ctg022813l,NA
s36.ctg035949l,NA
s18766.ctg021859l,NA
s29564.ctg035045l,NA
s35172.ctg042215l,NA
s37778.ctg045764l,NA
s19014.ctg022154l,NA
s36.ctg048676l,NA
s39948.ctg049079l,NA
s39392.ctg048231l,NA
s1129.ctg001243l,NA
s36.ctg053145l,NA
s9311.ctg010644l,NA
s7334.ctg008324l,NA
s5547.ctg006266c,NA
s1637.ctg001807c,NA
s24911.ctg029300l,NA
s24342.ctg028614l,NA
s2554.ctg002839l,NA
s26181.ctg030871l,NA
s36.ctg020118l,NA
s35198.ctg042244l,NA
s28796.ctg034100l,NA
s30.ctg003319l,NA
s36.ctg035688l,NA
s1795.ctg049372l,NA
s2287.ctg009564l,NA
s7725.ctg047054l,NA
s1.ctg039520l,NA
s10126.ctg049677l,NA
s17127.ctg019891l,NA
s3506.ctg048435l,NA
s26917.ctg031775l,NA
s700.ctg013764l,NA
s36.ctg035354l,NA
s10515.ctg012056c,NA
s21230.ctg024801l,NA
s2127.ctg002360l,NA
s36.ctg006453l,NA
s16592.ctg019268l,NA
s2862.ctg003184l,NA
s30.ctg029700l,NA
s36.ctg057311l,NA
s8503.ctg009694l,NA
s35692.ctg042910l,NA
s10109.ctg011572l,NA
s37794.ctg045785l,NA
s36.ctg042974l,NA
s43499.ctg055570l,NA
s700.ctg021419l,NA
s22338.ctg026152l,NA
s12538.ctg014437l,NA
s649.ctg000719c,NA
s31019.ctg036879l,NA
s36.ctg023617l,NA
s29166.ctg034559l,NA
s11290.ctg012967l,NA
s7140.ctg027226l,NA
s358.ctg031704l,NA
s36520.ctg044061l,NA
s36.ctg058659l,NA
s10956.ctg012576l,NA
s39541.ctg048459l,NA
s16897.ctg019622l,NA
s7152.ctg008106l,NA
s426.ctg041519l,NA
s21013.ctg024540l,NA
s36.ctg059994l,NA
s26341.ctg031063l,NA
s12034.ctg013832l,NA
s1730.ctg001911l,NA
s9862.ctg024196l,NA
s42112.ctg052818l,NA
s18922.ctg022044l,NA
s25274.ctg029736l,NA
s38508.ctg046847l,NA
s36.ctg048189l,NA
s39307.ctg048088l,NA
s3661.ctg019982l,NA
s44041.ctg056881l,NA
s2473.ctg025928l,NA
s38807.ctg047326l,NA
s36.ctg031383l,NA
s16822.ctg019533l,NA
s2574.ctg002864l,NA
s36.ctg035567l,NA
s36.ctg010635l,NA
s6035.ctg018647l,NA
s36.ctg046732l,NA
s36.ctg027325l,NA
s36.ctg049440l,NA
s31346.ctg037316l,NA
s2660.ctg002959l,NA
s30622.ctg036386l,NA
s36.ctg034120l,NA
s2826.ctg003145l,NA
s10965.ctg012588l,NA
s118.ctg034034l,NA
s817.ctg000899l,NA
s8257.ctg009413l,NA
s39633.ctg048594l,NA
s6779.ctg007680l,NA
s738.ctg031689l,NA
s1840.ctg047268l,NA
s36.ctg018405l,NA
s34967.ctg041955l,NA
s34734.ctg041658l,NA
s27792.ctg032848l,NA
s38112.ctg046263l,NA
s8496.ctg009686l,NA
s41870.ctg052364l,NA
s36.ctg059381l,NA
s36.ctg050178l,NA
s506.ctg000557l,NA
s7560.ctg008584l,NA
s32922.ctg039293l,NA
s9664.ctg011053l,NA
s7.ctg043319l,NA
s354.ctg000390l,NA
s30.ctg026345l,NA
s98.ctg015610l,NA
s41760.ctg052160l,NA
s9470.ctg010829c,NA
s36.ctg059601l,NA
s36.ctg047477l,NA
s38061.ctg046181l,NA
s22553.ctg026423l,NA
s41441.ctg051584l,NA
s28037.ctg033147l,NA
s33503.ctg040037l,NA
s13472.ctg026382l,NA
s27780.ctg032835l,NA
s36.ctg059414l,NA
s36.ctg004934l,NA
